name,year,rating,genre,description
The Guilty,2021,6.3,"Crime, Drama, Thriller",A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.
Kingsman: The Golden Circle,2017,6.7,"Action, Adventure, Comedy","After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy."
The Courier,2020,7.2,"Drama, History, Thriller",Businessman Greville Wynne is asked by a Russian source try to help put an end to the Cuban Missile Crisis.
The Last Boy Scout,1991,7.0,"Action, Comedy, Crime","A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner."
Unfaithful,2002,6.7,"Drama, Romance, Thriller",A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
Army of Thieves,2021,6.4,"Action, Comedy, Crime","A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse."
The Little Things,2021,6.3,"Crime, Drama, Mystery","Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city."
Memento,2000,8.5,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.
Road House,1989,6.6,"Action, Thriller",A tough bouncer is hired to tame a dirty bar.
Aliens,1986,8.4,"Action, Adventure, Sci-Fi","Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
Zodiac,2007,7.7,"Crime, Drama, Mystery","Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
The Hunt for Red October,1990,7.6,"Action, Adventure, Thriller","In November 1984, the Soviet Union's best submarine captain, in a new undetectable sub, violates orders and heads for the U.S. The American CIA and military must quickly determine: Is he trying to defect, or to start a war?"
Jaws,1975,8.1,"Adventure, Thriller","When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
Godzilla vs. Kong,2021,6.3,"Action, Sci-Fi, Thriller",The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome Godzilla and the mighty Kong - with humanity caught in the balance.
The Girl with the Dragon Tattoo,2011,7.8,"Crime, Drama, Mystery","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
