name,year,rating,genre,description
Cruella,2021,7.4,"Adventure, Comedy, Crime",A live-action prequel feature film following a young Cruella de Vil.
The Lord of the Rings: The Return of the King,2003,9.0,"Action, Adventure, Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
The Departed,2006,8.5,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Taxi Driver,1976,8.3,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
A River Runs Through It,1992,7.2,Drama,"Two sons of a stern minister - one reserved, one rebellious - grow up in rural 1920s Montana while devoted to fly fishing."
Pride & Prejudice,2005,7.8,"Drama, Romance","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
Hereditary,2018,7.3,"Drama, Horror, Mystery",A grieving family is haunted by tragic and disturbing occurrences.
The VVitch: A New-England Folktale,2015,6.9,"Drama, Horror, Mystery","A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession."
Léon,1994,8.6,"Action, Crime, Drama","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
300,2006,7.6,"Action, Drama",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
Antlers,2021,5.9,"Drama, Horror, Mystery","In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature."
Eternal Sunshine of the Spotless Mind,2004,8.3,"Drama, Romance, Sci-Fi","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Apocalypse Now,1979,8.5,"Drama, Mystery, War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Knock Knock,I 2015,4.9,"Drama, Thriller","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
The Greatest Showman,2017,7.6,"Biography, Drama, Musical",Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
Raya and the Last Dragon,2021,7.3,"Animation, Action, Adventure","In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon."
Hacksaw Ridge,2016,8.1,"Biography, Drama, History","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
Braveheart,1995,8.4,"Biography, Drama, History",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Uncut Gems,2019,7.4,"Crime, Drama, Thriller","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive."
Sicario,2015,7.7,"Action, Crime, Drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
American Beauty,1999,8.4,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Boogie Nights,1997,7.9,Drama,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
Fifty Shades Darker,2017,4.6,"Drama, Romance","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her."
12 Angry Men,1957,9.0,"Crime, Drama",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
Ex Machina,2014,7.7,"Drama, Sci-Fi, Thriller",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
Baby Driver,2017,7.6,"Action, Crime, Drama","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
Ah-ga-ssi,2016,8.1,"Drama, Romance, Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Hamilton,2020,8.4,"Biography, Drama, History","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
The Unforgivable,2021,7.2,"Crime, Drama",A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.
The Proposal,I 2009,6.7,"Comedy, Drama, Romance",A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.
Doctor Sleep,2019,7.3,"Drama, Fantasy, Horror","Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal."
